frame,health,ref_x,ref_y,ref_z,droid_x,droid_y,droid_z,est_x,est_y,est_z,err_2d
16,1,0.0438,-0.1062,-0.0574,0.000184,0.003584,-0.001379,0.0438,-0.1062,-0.0574,0.0
17,1,0.0713,-0.1234,-0.0597,0.000184,0.003584,-0.001379,0.0713,-0.1234,-0.0597,0.0
18,1,0.1019,-0.1418,-0.0619,0.001713,0.003953,-0.000812,0.1019,-0.1418,-0.0619,0.0
19,1,0.1356,-0.1617,-0.064,0.001713,0.003953,-0.000812,0.1356,-0.1617,-0.064,0.0
20,1,0.1724,-0.183,-0.066,0.001713,0.003953,-0.000812,0.1724,-0.183,-0.066,0.0
21,1,0.2125,-0.2056,-0.0679,-0.000662,0.00817,-0.00059,0.2125,-0.2056,-0.0679,0.0
22,1,0.2557,-0.2298,-0.0697,-0.000662,0.00817,-0.00059,0.2557,-0.2298,-0.0697,0.0
23,1,0.3022,-0.2553,-0.0714,-0.000662,0.00817,-0.00059,0.3022,-0.2553,-0.0714,0.0
24,1,0.352,-0.2824,-0.0731,0.000963,0.011457,-0.00066,0.352,-0.2824,-0.0731,0.0
25,1,0.4052,-0.3109,-0.0746,0.000963,0.011457,-0.00066,0.4052,-0.3109,-0.0746,0.0
26,1,0.4606,-0.3415,-0.0761,0.000963,0.011457,-0.00066,0.4606,-0.3415,-0.0761,0.0
27,1,0.52,-0.3737,-0.0775,0.002481,0.016085,-0.000854,0.52,-0.3737,-0.0775,0.0
28,1,0.5835,-0.4075,-0.0788,0.002481,0.016085,-0.000854,0.5835,-0.4075,-0.0788,0.0
29,1,0.6511,-0.443,-0.0801,0.002481,0.016085,-0.000854,0.6511,-0.443,-0.0801,0.0
30,1,0.7228,-0.4802,-0.0814,0.00212,0.02035,-0.001031,0.7228,-0.4802,-0.0814,0.0
31,1,0.7987,-0.519,-0.0826,0.00212,0.02035,-0.001031,0.7987,-0.519,-0.0826,0.0
32,1,0.8778,-0.5595,-0.0838,0.00212,0.02035,-0.001031,0.8778,-0.5595,-0.0838,0.0
33,1,0.9603,-0.6017,-0.085,0.002017,0.024781,-0.000774,0.9603,-0.6017,-0.085,0.0
34,1,1.0463,-0.6453,-0.0862,0.002017,0.024781,-0.000774,1.0463,-0.6453,-0.0862,0.0
35,1,1.1357,-0.6895,-0.0872,0.002017,0.024781,-0.000774,1.1357,-0.6895,-0.0872,0.0
36,1,1.2285,-0.7342,-0.0883,0.002313,0.02887,-0.000601,1.2285,-0.7342,-0.0883,0.0
37,1,1.3246,-0.7797,-0.0893,0.002313,0.02887,-0.000601,1.3246,-0.7797,-0.0893,0.0
38,1,1.4248,-0.8281,-0.0903,0.002313,0.02887,-0.000601,1.4248,-0.8281,-0.0903,0.0
39,1,1.5292,-0.8794,-0.0914,0.002011,0.035096,-0.001187,1.5292,-0.8794,-0.0914,0.0
40,1,1.6376,-0.9338,-0.0925,0.002011,0.035096,-0.001187,1.6376,-0.9338,-0.0925,0.0
41,1,1.7485,-0.9901,-0.0936,0.002011,0.035096,-0.001187,1.7485,-0.9901,-0.0936,0.0
42,1,1.8617,-1.0481,-0.0948,0.003952,0.038243,-0.001229,1.8617,-1.0481,-0.0948,0.0
43,1,1.977,-1.1076,-0.096,0.003952,0.038243,-0.001229,1.977,-1.1076,-0.096,0.0
44,1,2.0953,-1.1685,-0.0972,0.003952,0.038243,-0.001229,2.0953,-1.1685,-0.0972,0.0
45,1,2.2164,-1.231,-0.0985,0.005337,0.049148,-0.000573,2.2164,-1.231,-0.0985,0.0
46,1,2.3403,-1.2954,-0.0998,0.005337,0.049148,-0.000573,2.3403,-1.2954,-0.0998,0.0
47,1,2.4677,-1.3615,-0.1011,0.005337,0.049148,-0.000573,2.4677,-1.3615,-0.1011,0.0
48,1,2.5986,-1.4291,-0.1025,-0.007746,0.012395,-0.005464,2.5986,-1.4291,-0.1025,0.0
49,1,2.7331,-1.4978,-0.1039,-0.007746,0.012395,-0.005464,2.7331,-1.4978,-0.1039,0.0
50,1,2.8702,-1.5676,-0.1054,-0.007746,0.012395,-0.005464,2.8702,-1.5676,-0.1054,0.0
51,1,3.01,-1.6385,-0.1068,0.004224,0.052488,-0.002248,3.01,-1.6385,-0.1068,0.0
52,1,3.1526,-1.7105,-0.1083,0.004224,0.052488,-0.002248,3.1526,-1.7105,-0.1083,0.0
53,1,3.2979,-1.7848,-0.1097,0.004224,0.052488,-0.002248,3.2979,-1.7848,-0.1097,0.0
54,1,3.4459,-1.8611,-0.1112,-0.002901,0.049551,-0.005752,3.4459,-1.8611,-0.1112,0.0
55,1,3.5965,-1.9393,-0.1126,-0.002901,0.049551,-0.005752,3.5965,-1.9393,-0.1126,0.0
56,1,3.7504,-2.0192,-0.114,-0.002901,0.049551,-0.005752,3.7504,-2.0192,-0.114,0.0
57,1,3.9078,-2.1006,-0.1154,0.010331,0.09145,0.000326,3.9078,-2.1006,-0.1154,0.0
58,1,4.0684,-2.1832,-0.1168,0.010331,0.09145,0.000326,4.0684,-2.1832,-0.1168,0.0
59,1,4.2322,-2.2659,-0.1181,0.010331,0.09145,0.000326,4.2322,-2.2659,-0.1181,0.0
60,1,4.3993,-2.3487,-0.1194,0.011697,0.105222,0.001243,4.3993,-2.3487,-0.1194,0.0
61,1,4.5693,-2.4315,-0.1206,0.011697,0.105222,0.001243,4.5693,-2.4315,-0.1206,0.0
62,1,4.7424,-2.5153,-0.1217,0.011697,0.105222,0.001243,4.7424,-2.5153,-0.1217,0.0
63,1,4.9187,-2.5998,-0.1228,0.01156,0.117957,0.001867,4.9187,-2.5998,-0.1228,0.0
64,1,5.0981,-2.6846,-0.1238,0.01156,0.117957,0.001867,5.0981,-2.6846,-0.1238,0.0
65,1,5.2801,-2.7708,-0.1247,0.01156,0.117957,0.001867,5.2801,-2.7708,-0.1247,0.0
66,1,5.4642,-2.8583,-0.1255,0.013185,0.129774,0.002148,5.4642,-2.8583,-0.1255,0.0
67,1,5.6505,-2.9469,-0.1263,0.013185,0.129774,0.002148,5.6505,-2.9469,-0.1263,0.0
68,1,5.8396,-3.0366,-0.1269,0.013185,0.129774,0.002148,5.8396,-3.0366,-0.1269,0.0
69,1,6.0314,-3.1273,-0.1275,0.012978,0.145009,0.002385,6.0314,-3.1273,-0.1275,0.0
70,1,6.2259,-3.219,-0.1279,0.012978,0.145009,0.002385,6.2259,-3.219,-0.1279,0.0
71,1,6.4237,-3.3103,-0.1282,0.012978,0.145009,0.002385,6.4237,-3.3103,-0.1282,0.0
72,1,6.6249,-3.401,-0.1284,0.013362,0.158161,0.002844,6.6249,-3.401,-0.1284,0.0
73,1,6.8294,-3.4908,-0.1285,0.013362,0.158161,0.002844,6.8294,-3.4908,-0.1285,0.0
74,1,7.0373,-3.5805,-0.1285,0.013362,0.158161,0.002844,7.0373,-3.5805,-0.1285,0.0
75,1,7.2483,-3.6701,-0.1283,0.013929,0.172049,0.002759,7.2483,-3.6701,-0.1283,0.0
76,1,7.4624,-3.7594,-0.1281,0.013929,0.172049,0.002759,7.4624,-3.7594,-0.1281,0.0
77,1,7.6788,-3.8483,-0.1277,0.013929,0.172049,0.002759,7.6788,-3.8483,-0.1277,0.0
78,1,7.8973,-3.9368,-0.1271,0.015671,0.186456,0.002764,7.8973,-3.9368,-0.1271,0.0
79,1,8.1181,-4.0248,-0.1265,0.015671,0.186456,0.002764,8.1181,-4.0248,-0.1265,0.0
80,1,8.3416,-4.1121,-0.1257,0.015671,0.186456,0.002764,8.3416,-4.1121,-0.1257,0.0
81,1,8.5678,-4.1987,-0.1249,0.014127,0.202454,0.003189,8.5678,-4.1987,-0.1249,0.0
82,1,8.7964,-4.2843,-0.1239,0.014127,0.202454,0.003189,8.7964,-4.2843,-0.1239,0.0
83,1,9.0271,-4.3691,-0.1228,0.014127,0.202454,0.003189,9.0271,-4.3691,-0.1228,0.0
84,1,9.2599,-4.4528,-0.1216,0.014165,0.217807,0.003085,9.2599,-4.4528,-0.1216,0.0
85,1,9.495,-4.5353,-0.1202,0.014165,0.217807,0.003085,9.495,-4.5353,-0.1202,0.0
86,1,9.7313,-4.6187,-0.1188,0.014165,0.217807,0.003085,9.7313,-4.6187,-0.1188,0.0
87,1,9.9691,-4.703,-0.1173,0.013899,0.235032,0.003895,9.9691,-4.703,-0.1173,0.0
88,1,10.2083,-4.7881,-0.1158,0.013899,0.235032,0.003895,10.2083,-4.7881,-0.1158,0.0
89,1,10.4498,-4.8717,-0.1141,0.013899,0.235032,0.003895,10.4498,-4.8717,-0.1141,0.0
90,1,10.6933,-4.9538,-0.1123,0.013823,0.251511,0.004377,10.6933,-4.9538,-0.1123,0.0
91,1,10.9386,-5.0344,-0.1105,0.013823,0.251511,0.004377,10.9386,-5.0344,-0.1105,0.0
92,1,11.1856,-5.1143,-0.1086,0.013823,0.251511,0.004377,11.1856,-5.1143,-0.1086,0.0
93,1,11.4346,-5.1933,-0.1066,0.012977,0.267495,0.004914,11.4346,-5.1933,-0.1066,0.0
94,1,11.6853,-5.2712,-0.1046,0.012977,0.267495,0.004914,11.6853,-5.2712,-0.1046,0.0
95,1,11.9388,-5.348,-0.1025,0.012977,0.267495,0.004914,11.9388,-5.348,-0.1025,0.0
96,1,12.1947,-5.4238,-0.1003,0.011113,0.28289,0.005033,12.1947,-5.4238,-0.1003,0.0
97,1,12.4529,-5.4989,-0.0981,0.011113,0.28289,0.005033,12.4529,-5.4989,-0.0981,0.0
98,1,12.7124,-5.5732,-0.0958,0.011113,0.28289,0.005033,12.7124,-5.5732,-0.0958,0.0
99,1,12.9733,-5.6465,-0.0934,0.012021,0.302867,0.00565,12.9733,-5.6465,-0.0934,0.0
100,1,13.2354,-5.7187,-0.091,0.012021,0.302867,0.00565,13.2354,-5.7187,-0.091,0.0
101,1,13.4994,-5.7908,-0.0885,0.012021,0.302867,0.00565,13.4994,-5.7908,-0.0885,0.0
102,1,13.7655,-5.8628,-0.0859,0.010056,0.321343,0.00623,13.7655,-5.8628,-0.0859,0.0
103,1,14.0336,-5.9347,-0.0833,0.010056,0.321343,0.00623,14.0336,-5.9347,-0.0833,0.0
104,1,14.3037,-6.0054,-0.0806,0.010056,0.321343,0.00623,14.3037,-6.0054,-0.0806,0.0
105,1,14.5759,-6.0749,-0.0778,0.008707,0.341312,0.007297,14.5759,-6.0749,-0.0778,0.0
106,1,14.8499,-6.1429,-0.075,0.008707,0.341312,0.007297,14.8499,-6.1429,-0.075,0.0
107,1,15.1259,-6.2095,-0.0722,0.008707,0.341312,0.007297,15.1259,-6.2095,-0.0722,0.0
108,1,15.4037,-6.2743,-0.0692,0.008813,0.357045,0.00694,15.4037,-6.2743,-0.0692,0.0
109,1,15.6831,-6.3375,-0.0662,0.008813,0.357045,0.00694,15.6831,-6.3375,-0.0662,0.0
110,1,15.9641,-6.4,-0.0631,0.008813,0.357045,0.00694,15.9641,-6.4,-0.0631,0.0
111,1,16.2466,-6.4621,-0.06,0.007204,0.374962,0.007143,16.2466,-6.4621,-0.06,0.0
112,1,16.5303,-6.5238,-0.057,0.007204,0.374962,0.007143,16.5303,-6.5238,-0.057,0.0
113,1,16.816,-6.5852,-0.0539,0.007204,0.374962,0.007143,16.816,-6.5852,-0.0539,0.0
114,1,17.1036,-6.646,-0.0509,0.004876,0.395911,0.008194,17.1036,-6.646,-0.0509,0.0
115,1,17.3932,-6.706,-0.0478,0.004876,0.395911,0.008194,17.3932,-6.706,-0.0478,0.0
116,1,17.6839,-6.764,-0.0447,0.004876,0.395911,0.008194,17.6839,-6.764,-0.0447,0.0
117,1,17.9757,-6.82,-0.0416,0.005284,0.416256,0.009186,17.9757,-6.82,-0.0416,0.0
118,1,18.2689,-6.8741,-0.0384,0.005284,0.416256,0.009186,18.2689,-6.8741,-0.0384,0.0
119,1,18.5641,-6.9272,-0.0352,0.005284,0.416256,0.009186,18.5641,-6.9272,-0.0352,0.0
120,1,18.8612,-6.9793,-0.0321,0.004057,0.433433,0.00836,18.8612,-6.9793,-0.0321,0.0
121,1,19.1601,-7.0301,-0.029,0.004057,0.433433,0.00836,19.1601,-7.0301,-0.029,0.0
122,1,19.4599,-7.0787,-0.0258,0.004057,0.433433,0.00836,19.4599,-7.0787,-0.0258,0.0
123,1,19.7606,-7.1249,-0.0227,0.000684,0.451245,0.00912,19.7606,-7.1249,-0.0227,0.0
124,1,20.0622,-7.1691,-0.0196,0.000684,0.451245,0.00912,20.0622,-7.1691,-0.0196,0.0
125,1,20.3653,-7.2122,-0.0165,0.000684,0.451245,0.00912,20.3653,-7.2122,-0.0165,0.0
126,1,20.6697,-7.2542,-0.0135,-0.001038,0.467679,0.008598,20.6697,-7.2542,-0.0135,0.0
127,1,20.9752,-7.295,-0.0104,-0.001038,0.467679,0.008598,20.9752,-7.295,-0.0104,0.0
128,1,21.2818,-7.3346,-0.0074,-0.001038,0.467679,0.008598,21.2818,-7.3346,-0.0074,0.0
129,1,21.5894,-7.3729,-0.0045,-0.005999,0.488563,0.009778,21.5894,-7.3729,-0.0045,0.0
130,1,21.8981,-7.4099,-0.0016,-0.005999,0.488563,0.009778,21.8981,-7.4099,-0.0016,0.0
131,1,22.2071,-7.4456,0.0013,-0.005999,0.488563,0.009778,22.2071,-7.4456,0.0013,0.0
132,1,22.5162,-7.4801,0.0042,-0.007439,0.509158,0.010935,22.5162,-7.4801,0.0042,0.0
133,1,22.8252,-7.5133,0.0071,-0.007439,0.509158,0.010935,22.8252,-7.5133,0.0071,0.0
134,1,23.135,-7.5463,0.01,-0.007439,0.509158,0.010935,23.135,-7.5463,0.01,0.0
135,1,23.4453,-7.579,0.0129,-0.011101,0.526683,0.00988,23.4453,-7.579,0.0129,0.0
136,1,23.7563,-7.6113,0.0158,-0.011101,0.526683,0.00988,23.7563,-7.6113,0.0158,0.0
137,1,24.0695,-7.6408,0.0187,-0.011101,0.526683,0.00988,24.0695,-7.6408,0.0187,0.0
138,1,24.3848,-7.6675,0.0215,-0.016071,0.54628,0.011438,24.3848,-7.6675,0.0215,0.0
139,1,24.7022,-7.6913,0.0243,-0.016071,0.54628,0.011438,24.7022,-7.6913,0.0243,0.0
140,1,25.02,-7.7144,0.0271,-0.016071,0.54628,0.011438,25.02,-7.7144,0.0271,0.0
141,1,25.338,-7.7367,0.0299,-0.018448,0.567736,0.01296,25.338,-7.7367,0.0299,0.0
142,1,25.6563,-7.7582,0.0327,-0.018448,0.567736,0.01296,25.6563,-7.7582,0.0327,0.0
143,1,25.9757,-7.7767,0.0354,-0.018448,0.567736,0.01296,25.9757,-7.7767,0.0354,0.0
144,1,26.2961,-7.7923,0.0382,-0.021751,0.588452,0.012736,26.2961,-7.7923,0.0382,0.0
145,1,26.6177,-7.805,0.0409,-0.021751,0.588452,0.012736,26.6177,-7.805,0.0409,0.0
146,1,26.9395,-7.8169,0.0437,-0.021751,0.588452,0.012736,26.9395,-7.8169,0.0437,0.0
147,1,27.2615,-7.8282,0.0464,-0.025081,0.607598,0.012923,27.2615,-7.8282,0.0464,0.0
148,1,27.5836,-7.8389,0.0492,-0.025081,0.607598,0.012923,27.5836,-7.8389,0.0492,0.0
149,1,27.9064,-7.848,0.0519,-0.025081,0.607598,0.012923,27.9064,-7.848,0.0519,0.0
150,1,28.23,-7.8554,0.0546,-0.029517,0.627074,0.013302,28.23,-7.8554,0.0546,0.0
151,1,28.5543,-7.861,0.0573,-0.029517,0.627074,0.013302,28.5543,-7.861,0.0573,0.0
152,1,28.8795,-7.8648,0.06,-0.029517,0.627074,0.013302,28.8795,-7.8648,0.06,0.0
153,1,29.2054,-7.8667,0.0627,-0.032188,0.64484,0.012119,29.2054,-7.8667,0.0627,0.0
154,1,29.532,-7.8667,0.0654,-0.032188,0.64484,0.012119,29.532,-7.8667,0.0654,0.0
155,1,29.8593,-7.8648,0.0681,-0.032188,0.64484,0.012119,29.8593,-7.8648,0.0681,0.0
156,1,30.1873,-7.861,0.0708,-0.038234,0.667816,0.014762,30.1873,-7.861,0.0708,0.0
157,1,30.5159,-7.8554,0.0735,-0.038234,0.667816,0.014762,30.5159,-7.8554,0.0735,0.0
158,1,30.8451,-7.848,0.0762,-0.038234,0.667816,0.014762,30.8451,-7.848,0.0762,0.0
159,1,31.1748,-7.8389,0.0789,-0.044509,0.685941,0.013763,31.1748,-7.8389,0.0789,0.0
160,1,31.5049,-7.8282,0.0815,-0.044509,0.685941,0.013763,31.5049,-7.8282,0.0815,0.0
161,1,31.8355,-7.8169,0.0841,-0.044509,0.685941,0.013763,31.8355,-7.8169,0.0841,0.0
162,1,32.1664,-7.8049,0.0868,-0.048973,0.709214,0.016529,32.1664,-7.8049,0.0868,0.0
163,1,32.4975,-7.7923,0.0894,-0.048973,0.709214,0.016529,32.4975,-7.7923,0.0894,0.0
164,1,32.8288,-7.7767,0.092,-0.048973,0.709214,0.016529,32.8288,-7.7767,0.092,0.0
165,1,33.1601,-7.7582,0.0946,-0.056607,0.731769,0.018606,33.1601,-7.7582,0.0946,0.0
166,1,33.4915,-7.7367,0.0972,-0.056607,0.731769,0.018606,33.4915,-7.7367,0.0972,0.0
167,1,33.8235,-7.7144,0.0998,-0.056607,0.731769,0.018606,33.8235,-7.7144,0.0998,0.0
168,1,34.1565,-7.6913,0.1023,-0.062069,0.749121,0.018049,34.1565,-7.6913,0.1023,0.0
169,1,34.4903,-7.6675,0.1047,-0.062069,0.749121,0.018049,34.4903,-7.6675,0.1047,0.0
170,1,34.8241,-7.6417,0.1071,-0.062069,0.749121,0.018049,34.8241,-7.6417,0.1071,0.0
171,1,35.1579,-7.614,0.1094,-0.069803,0.770771,0.019276,35.1579,-7.614,0.1094,0.0
172,1,35.4914,-7.5841,0.1116,-0.069803,0.770771,0.019276,35.4914,-7.5841,0.1116,0.0
173,1,35.8256,-7.5531,0.1138,-0.069803,0.770771,0.019276,35.8256,-7.5531,0.1138,0.0
174,1,36.1604,-7.5213,0.1159,-0.075155,0.789504,0.018913,36.1604,-7.5213,0.1159,0.0
175,1,36.4958,-7.4887,0.1178,-0.075155,0.789504,0.018913,36.4958,-7.4887,0.1178,0.0
176,1,36.8311,-7.4544,0.1197,-0.075155,0.789504,0.018913,36.8311,-7.4544,0.1197,0.0
177,1,37.166,-7.4183,0.1214,-0.082467,0.811658,0.020795,37.166,-7.4183,0.1214,0.0
178,1,37.5004,-7.3805,0.1231,-0.082467,0.811658,0.020795,37.5004,-7.3805,0.1231,0.0
179,1,37.8351,-7.3409,0.1247,-0.082467,0.811658,0.020795,37.8351,-7.3409,0.1247,0.0
180,1,38.1702,-7.2997,0.1262,-0.089683,0.829788,0.020079,38.1702,-7.2997,0.1262,0.0
181,1,38.5056,-7.2568,0.1277,-0.089683,0.829788,0.020079,38.5056,-7.2568,0.1277,0.0
182,1,38.8421,-7.2133,0.1291,-0.089683,0.829788,0.020079,38.8421,-7.2133,0.1291,0.0
183,1,39.1795,-7.1692,0.1304,-0.0966,0.852163,0.022715,39.1795,-7.1692,0.1304,0.0
184,1,39.5178,-7.1243,0.1316,-0.0966,0.852163,0.022715,39.5178,-7.1243,0.1316,0.0
185,1,39.856,-7.0765,0.1327,-0.0966,0.852163,0.022715,39.856,-7.0765,0.1327,0.0
186,1,40.1943,-7.0255,0.1337,-0.106414,0.871749,0.022547,40.1943,-7.0255,0.1337,0.0
187,1,40.5325,-6.9714,0.1346,-0.106414,0.871749,0.022547,40.5325,-6.9714,0.1346,0.0
188,1,40.8707,-6.9164,0.1354,-0.106414,0.871749,0.022547,40.8707,-6.9164,0.1354,0.0
189,1,41.2085,-6.8603,0.1362,-0.11468,0.889658,0.022847,41.2085,-6.8603,0.1362,0.0
190,1,41.5457,-6.8034,0.1369,-0.11468,0.889658,0.022847,41.5457,-6.8034,0.1369,0.0
191,1,41.8821,-6.7442,0.1375,-0.11468,0.889658,0.022847,41.8821,-6.7442,0.1375,0.0
192,1,42.2177,-6.6828,0.1381,-0.123049,0.910785,0.024871,42.2177,-6.6828,0.1381,0.0
193,1,42.5527,-6.619,0.1386,-0.123049,0.910785,0.024871,42.5527,-6.619,0.1386,0.0
194,1,42.8869,-6.5538,0.139,-0.123049,0.910785,0.024871,42.8869,-6.5538,0.139,0.0
195,1,43.2206,-6.4874,0.1394,-0.133398,0.929895,0.025575,43.2206,-6.4874,0.1394,0.0
196,1,43.5536,-6.4199,0.1397,-0.133398,0.929895,0.025575,43.5536,-6.4199,0.1397,0.0
197,1,43.8869,-6.3502,0.1399,-0.133398,0.929895,0.025575,43.8869,-6.3502,0.1399,0.0
198,1,44.2202,-6.2783,0.1401,-0.147089,0.948993,0.02675,44.2202,-6.2783,0.1401,0.0
199,1,44.5535,-6.2043,0.1402,-0.147089,0.948993,0.02675,44.5535,-6.2043,0.1402,0.0
200,1,44.8866,-6.129,0.1403,-0.147089,0.948993,0.02675,44.8866,-6.129,0.1403,0.0
201,1,45.2195,-6.0524,0.1404,-0.158891,0.969295,0.028185,45.2195,-6.0524,0.1404,0.0
202,1,45.5521,-5.9742,0.1405,-0.158891,0.969295,0.028185,45.5521,-5.9742,0.1405,0.0
203,1,45.8843,-5.8933,0.1407,-0.158891,0.969295,0.028185,45.8843,-5.8933,0.1407,0.0
204,1,46.216,-5.8099,0.1408,-0.17335,0.986442,0.028444,46.216,-5.8099,0.1408,0.0
205,1,46.5471,-5.7239,0.1411,-0.17335,0.986442,0.028444,46.5471,-5.7239,0.1411,0.0
206,1,46.8775,-5.6366,0.1414,-0.17335,0.986442,0.028444,46.8775,-5.6366,0.1414,0.0
207,1,47.2073,-5.5478,0.1417,-0.189823,1.006185,0.030505,47.2073,-5.5478,0.1417,0.0
208,1,47.5364,-5.4576,0.1421,-0.189823,1.006185,0.030505,47.5364,-5.4576,0.1421,0.0
209,1,47.8646,-5.3659,0.1426,-0.189823,1.006185,0.030505,47.8646,-5.3659,0.1426,0.0
210,1,48.192,-5.2728,0.1431,-0.204482,1.024115,0.031098,48.192,-5.2728,0.1431,0.0
211,1,48.5185,-5.1782,0.1437,-0.204482,1.024115,0.031098,48.5185,-5.1782,0.1437,0.0
212,1,48.8449,-5.081,0.1444,-0.204482,1.024115,0.031098,48.8449,-5.081,0.1444,0.0
213,1,49.1709,-4.9811,0.1451,-0.220144,1.039658,0.02991,49.1709,-4.9811,0.1451,0.0
214,1,49.4965,-4.8784,0.1459,-0.220144,1.039658,0.02991,49.4965,-4.8784,0.1459,0.0
215,1,49.8214,-4.775,0.1467,-0.220144,1.039658,0.02991,49.8214,-4.775,0.1467,0.0
216,1,50.1455,-4.6708,0.1475,-0.240693,1.056445,0.030184,50.1455,-4.6708,0.1475,0.0
217,1,50.4687,-4.5657,0.1482,-0.240693,1.056445,0.030184,50.4687,-4.5657,0.1482,0.0
218,1,50.7901,-4.4576,0.149,-0.240693,1.056445,0.030184,50.7901,-4.4576,0.149,0.0
219,1,51.1098,-4.3466,0.1499,-0.258374,1.073827,0.031402,51.1098,-4.3466,0.1499,0.0
220,1,51.4278,-4.2325,0.1508,-0.258374,1.073827,0.031402,51.4278,-4.2325,0.1508,0.0
221,1,51.745,-4.1165,0.1518,-0.258374,1.073827,0.031402,51.745,-4.1165,0.1518,0.0
222,1,52.0613,-3.9984,0.1528,-0.277148,1.086963,0.029042,52.0613,-3.9984,0.1528,0.0
223,1,52.3765,-3.8782,0.1538,-0.277148,1.086963,0.029042,52.3765,-3.8782,0.1538,0.0
224,1,52.6915,-3.7557,0.155,-0.277148,1.086963,0.029042,52.6915,-3.7557,0.155,0.0
225,1,53.0059,-3.6308,0.1562,-0.297994,1.102426,0.029758,53.0059,-3.6308,0.1562,0.0
226,1,53.3196,-3.5036,0.1575,-0.297994,1.102426,0.029758,53.3196,-3.5036,0.1575,0.0
227,1,53.6325,-3.3739,0.1589,-0.297994,1.102426,0.029758,53.6325,-3.3739,0.1589,0.0
228,1,53.9444,-3.2419,0.1603,-0.317017,1.115819,0.028948,53.9444,-3.2419,0.1603,0.0
229,1,54.2552,-3.1076,0.1619,-0.317017,1.115819,0.028948,54.2552,-3.1076,0.1619,0.0
230,1,54.5647,-2.971,0.1636,-0.317017,1.115819,0.028948,54.5647,-2.971,0.1636,0.0
231,1,54.873,-2.8322,0.1652,-0.336987,1.130728,0.029819,54.873,-2.8322,0.1652,0.0
232,1,55.1798,-2.6913,0.1669,-0.336987,1.130728,0.029819,55.1798,-2.6913,0.1669,0.0
233,1,55.4843,-2.5473,0.1686,-0.336987,1.130728,0.029819,55.4843,-2.5473,0.1686,0.0
234,1,55.7863,-2.4001,0.1704,-0.360554,1.144783,0.03086,55.7863,-2.4001,0.1704,0.0
235,1,56.0856,-2.2497,0.1722,-0.360554,1.144783,0.03086,56.0856,-2.2497,0.1722,0.0
236,1,56.3829,-2.0982,0.174,-0.360554,1.144783,0.03086,56.3829,-2.0982,0.174,0.0
237,1,56.6782,-1.9456,0.1757,-0.384287,1.158596,0.033354,56.6782,-1.9456,0.1757,0.0
238,1,56.9716,-1.792,0.1775,-0.384287,1.158596,0.033354,56.9716,-1.792,0.1775,0.0
239,1,57.263,-1.6353,0.1792,-0.384287,1.158596,0.033354,57.263,-1.6353,0.1792,0.0
240,1,57.552,-1.4755,0.181,-0.412453,1.168178,0.032033,57.552,-1.4755,0.181,0.0
241,1,57.8385,-1.3128,0.1828,-0.412453,1.168178,0.032033,57.8385,-1.3128,0.1828,0.0
242,1,58.1224,-1.1483,0.1845,-0.412453,1.168178,0.032033,58.1224,-1.1483,0.1845,0.0
243,1,58.4038,-0.9819,0.1862,-0.436454,1.178094,0.032062,58.4038,-0.9819,0.1862,0.0
244,1,58.6828,-0.8136,0.1879,-0.436454,1.178094,0.032062,58.6828,-0.8136,0.1879,0.0
245,1,58.9612,-0.6433,0.1896,-0.436454,1.178094,0.032062,58.9612,-0.6433,0.1896,0.0
